Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT135,iOS,,Translations Strings,,DeleteBoxTitle ,Delete from the public gallery?,Delete from the public gallery?,Delete from the public gallery?,Delete from the public gallery?,Удалить фото из галереи?,Aus der öffentlichen Galerie löschen?,Herkese açık galeriden sil?,Cancellare dalla galleria pubblica?,Заличаване от общата галерия?,Obriši iz javne galerije?,Vnesi novi naslov.,パブリックギャラリーから削除しますか？,從公開的相片集中刪除嗎？,Delete from the public gallery?,حذف الصورة من معرض الصور العام؟,Usunąć z publicznej galerii?,Verwijder van de openbare galerij?,¿Borrar desde la galería pública?,Deletar da galeria pública?,Delete from the public gallery?
AT136,iOS,,Translations Strings,,Deleting ,Deleting...,Deleting...,Deleting...,Deleting...,Удаление...,,Siliniyor...,Cancellazione in corso...,Изтриване...,Brisanje u toku...,Potrebuješ dostop do spleta. Preveri povezavo in poskusi znova.,削除中…,刪除中...,Deleting...,يتم الحذف...,Usuwanie...,Verwijderen...,Eliminando ...,Deletando...,Deleting...
AT137,iOS,,Translations Strings,,DoneButton ,Done,Done,Done,Done,Готово,Fertig,Bitti,Fatto,Потвърди,Gotovo,"Nobene fotografije ne moreš označiti z ""Všeč mi je"".",完了,完成,Done,تم,Zrobione,Klaar,Hecho,Feito,Done
AT138,iOS,,Translations Strings,,EditButton ,Edit,Edit,Edit,Edit,Редактировать,Editieren,Düzenle,Modifica,Редактирай,Uredi,%d ljudi,編集,編輯,Edit,تعديل,Edycja,Aanpassen,Editar,Editar,Edit
AT139,iOS,,Translations Strings,,EditCaption ,Edit Caption,Edit Caption,Edit Caption,Edit Caption,Редактировать подпись,Bildunterschrift bearbeiten,Başlığı Düzenle,Modifica commento,Редактирай описанието,Uredi potpis,V redu,キャプションを編集する,編輯圖說,Edit Caption,تعديل التسمية التوضيحية,Edycja opisu,Onderschrift aanpassen,Editar título,Editar título,Edit Caption
AT140,iOS,,Translations Strings,,EmailLabel ,Email,Email,Email,Email,Email,E-Mail,Eposta,E-mail,Изпрати по еmail,Email,Fotografija je bila izbrisana.,Eメール,Email,Email,البريد الإلكتروني,Email,Email,Email,Email,Email
AT141,iOS,,Translations Strings,,EnterNewCaption ,Enter new caption,Enter new caption,Enter new caption,Enter new caption,Добавить новую подпись,Neue Bildunterschrift hinzufügen,Yeni başlık gir,Inserisci un nuovo commento,Въведи ново описание,Unesi novi potpis,Pravila o zasebnosti,新しいキャプションを入力する,輸入新的圖說,Enter new caption,أدخل تسمية توضيحية جديدة,Wpisz nowy opis,Nieuw onderschrift toevoegen,Introduzca nuevo título,Introduza um novo título,Enter new caption
AT142,iOS,,Translations Strings,,ErrorDownloadingImage ,"The image has not been downloaded, please wait until it's loaded before sharing it","The image has not been downloaded, please wait until it's loaded before sharing it","The image has not been downloaded, please wait until it's loaded before sharing it","The image has not been downloaded, please wait until it's loaded before sharing it","Фотография еще не загрузилась, пожалуйста, подождите до конца загрузки","Das Bild ist noch nicht vollständig heruntergeladen, bitte warte noch kurz, bis du es teilst.","Bu resim henüz indirilmedi, lütfen paylaşmadan önce yüklenmesini bekle",L’immagine non è stata scaricata; aspetta che finisca il caricamento per condividerla,"Изображението не е изтеглено. Изчакайте да се зареди, преди да го споделяте",Slika nije učitana. Molimo vas da sačekate da se učita pre nego što je podelite.,"Med brisanjem fotografije je prišlo do napake. Prosim, poskusi znova.",画像はダウンロードされません。読み込完了後にシェアしてください,影像尚未被下載，請等待下載完成後再分享,"The image has not been downloaded, please wait until it's loaded before sharing it",لم يتم تنزيل الصورة، يرجى الانتظار حتى يتم التحميل قبل مشاركتها,"Zdjęcie nie zostało jeszcze załadowane, poczekaj proszę aż zostanie załadowane przed udostępnianiem","De afbeelding is niet gedownload, wacht tot het is geladen voor je kunt delen.","La imagen no se ha descargado, por favor espere hasta que esté cargada antes de compartirlo","A imagem não foi descarregada, por favor, espere até que esteja carregada antes de compartilhá-la","The image has not been downloaded, please wait until it's loaded before sharing it"
AT143,iOS,,Translations Strings,,ErrorInvitingFriends ,An error occurred while processing your request to invite a Facebook friend. Please try again,An error occurred while processing your request to invite a Facebook friend. Please try again,An error occurred while processing your request to invite a Facebook friend. Please try again,An error occurred while processing your request to invite a Facebook friend. Please try again.,"При обработке вашего запроса пригласить друга произошла ошибка. Пожалуйста, попробуйте еще раз","Ein Fehler ist aufgetreten, während wir deine Einladung an einen Facebook-Freund gesendet haben. Bitte versuche es erneut.",Facebook arkadaşını davet ederken bir hata oluştu. Lütfen tekrar dene.,Durante l’elaborazione della tua richiesta di invitare un amico di Facebook si è verificato un errore. Riprova,"Станала е грешка при обработката на поканата ви на приятел от Facebook. Моля, опитайте отново",Došlo je do greške u obradi vašeg zahteva za poziv prijatelju sa Fejsbuka. Molimo vas da pokušate ponovo.,"Med označevanjem fotografije je prišlo do napake. Prosim, poskusi znova.",Facebookの友達を招待する途中、エラーが発生しました。もう一度やり直してください,當處理你邀請Facebook朋友的要求時發生錯誤。請再試一次,An error occurred while processing your request to invite a Facebook friend. Please try again,حدث خطأ أثناء معالجة طلبك لدعوة أحد أصدقائك على فيسبوك. يرجى إعادة المحاولة,Wystąpił błąd w trakcie przetwarzania polecenia zaproszenia znajomego z Facebooka. Spróbuj ponownie.,Een fout vond plaats terwijl je een Facebook vriend wilde uitnodigen. Probeer het alsjeblieft opnieuw.,"Se produjo un error al procesar tu solicitud para invitar a un amigo de Facebook. Por favor, inténtalo de nuevo","Um erro ocorreu no processo de sua solicitação para convidar um amigo do Facebook. Por favor, tente de novo",An error occurred while processing your request to invite a Facebook friend. Please try again
AT144,iOS,,Translations Strings,,ErrorLikingPhoto ,An error occurred while processing your request to vote for the photo. Please try again,An error occurred while processing your request to vote for the photo. Please try again,An error occurred while processing your request to vote for the photo. Please try again,An error occurred while processing your request to vote for the photo. Please try again,"При обработке вашего запроса проголосовать за фото произошла ошибка. Пожалуйста, попробуйте еще раз","Ein Fehler ist aufgetreten, während wir deine Stimme gezählt haben. Bitte versuche es erneut.",Facebook arkadaşını davet ederken bir hata oluştu. Lütfen tekrar dene.,Durante l’elaborazione della tua richiesta di votare per la foto si è verificato un errore. Riprova,"Станала е грешка при обработката на молбата ви да гласувате за снимка. Моля, опитайте отново",Došlo je do greške u obradi vašeg zahteva da glasate za fotku. Molimo vas da pokušate ponovo.,"Ko si fotografijo označil z ""Všeč mi je"", je prišlo do napake. Prosim, poskusi znova.",写真の投票中にエラーが発生しました。もう一度やり直してください,當處理你投票給照片的要求時發生錯誤。請再試一次,An error occurred while processing your request to vote for the photo. Please try again,حدث خطأ أثناء معالجة طلبك للتصويت لصالح الصورة. يرجى إعادة المحاولة,Wystąpił błąd w trakcie przetwarzania polecenia głosowania na zdjęcie. Spróbuj ponownie.,Een fout vond plaats tijdens het stemmen op de foto. Probeer het alsjeblieft opnieuw.,"Se produjo un error al procesar su solicitud para votar por la foto. Por favor, inténtalo de nuevo","Um erro ocorreu no processo de sua solicitação para votar na foto. Por favor, tente novamente",An error occurred while processing your request to vote for the photo. Please try again
AT145,iOS,,Translations Strings,,ErrorLoadingPageAlert ,This feature requires an active internet connection. Please verify your connection and try again.,This feature requires an active internet connection. Please verify your connection and try again.,This feature requires an active internet connection. Please verify your connection and try again.,This feature requires an active internet connection. Please verify your connection and try again.,"Приложение требует подключения к сети Интернет. Пожалуйста, проверьте ваше соединение и попробуйте еще раз",Du benötigst eine aktive Internetverbindung. Bitte prüfe deine Verbindung und versuche es erneut.,Bu özellik etkin bir internet bağlantısı gerektiriyor. Lütfen bağlantını kontrol et ve yeniden dene.,Questa funzionalità richiede una connessione Internet attiva. Verifica la tua connessione e riprova.,"Това действие изисква активна интернет връзка. Моля, уверете се, че сте свързани с интернет, преди да продължите",Ova funkcija zahteva pristup internetu. Molimo vas da proverite svoju vezu sa internetom i pokušajte ponovo.,Med deljenjem fotografije na Facebooku je prišlo do napake.,この機能はインターネットへの接続が必要です。接続されているかを確認して、もう一度やり直してください,這個功能需要網路連線。請確認你的連線狀態後再試一次。,This feature requires an active internet connection. Please verify your connection and try again.,تتطلب هذه الخاصية اتصالاً بالإنترنت. يرجى التحقق من الاتصال وإعادة المحاولة,Ta funkcja wymaga połączenia z Internetem. Sprawdź połączenie i spróbuj ponownie.,Hiervoor heb je een werkende verbinding nodig. Check je internetverbinding en probeer het opnieuw.,"Esta característica requiere una conexión a Internet activa. Por favor, compruebe su conexión y vuelva a intentarlo.","Esta função requer uma internet com conexão ativa. Por favor, teste sua conexão e volte a tentar. ",This feature requires an active internet connection. Please verify your connection and try again.
AT146,iOS,,Translations Strings,,ErrorNoPicturesShare ,You don't have any pictures to share. Please take your first picture,You don't have any pictures to share. Please take your first picture,You don't have any pictures to share. Please take your first picture,You don't have any pictures to share. Please take your first picture.,"Нет фотографий, которыми можно поделиться. Пожалуйста, добавьте фотографию","Du hast keine Bilder, die du teilen. Bitte erstelle zuerst ein Bild von dir.",Paylaşacak fotoğrafın yok. Hadi ilk fotoğrafını çek.,Non hai foto da condividere. Scatta la tua prima foto,Нямате снимки за споделяне. Направете първата си снимка,Nemate fotke koje biste podelili. Molimo vas da napravite svoju prvu sliku.,"Ja, nadaljuj.",シェアできる写真がありません。１枚目の写真を撮ってください,你沒有任何照片可以分享。請拍一張照片,You don't have any pictures to share. Please take your first picture,لا توجد لديك صور للنشر. من فضلك التقط صورتك الأولى,Nie masz żadnych zdjęć do udostępnienia. Zrób pierwsze zdjęcie,Je hebt geen foto's om te delen. Neem je eerste foto.,No tienes fotos para compartir. Por favor toma tu primera imagen,"Você não tem nenhuma foto para compartilhar. Por favor, tire sua primeira foto",You don't have any pictures to share. Please take your first picture
AT147,iOS,,Translations Strings,,ErrorSaveImageAlert ,An error occurred while saving your photo. Please try again,An error occurred while saving your photo. Please try again,An error occurred while saving your photo. Please try again,An error occurred while saving your photo. Please try again.,"При сохранении вашей фотографии произошла ошибка. Пожалуйста, попробуйте еще раз","Ein Fehler ist aufgetreten, während dein Foto gespeichert wurde. Bitte versuche es erneut.",Fotoğrafını kaydederken bir hata oluştu. Lütfen tekrar dene.,Durante il salvataggio della tua foto si è verificato un errore. Riprova,"Станала е грешка при запазването на вашата снимка. Моля, опитайте отново.",Došlo je do greške u čuvanju vaše fotografije. Molimo vas da pokušate ponovo.,Živi mrtveci,写真をセーブ中にエラーが発生しました。もう一度やり直してください,當儲存你的照片時發生錯誤。請再試一次,An error occurred while saving your photo. Please try again,حدث خطأ أثناء حفظ صورتك. يرجى إعادة المحاولة,Wystąpił błąd w trakcie zapisywania zdjęcia. Spróbuj ponownie ,Een fout vond plaats tijdens het opslaan van je foto. Probeer het alsjeblieft opnieuw.,"Se produjo un error al guardar la foto. Por favor, inténtalo de nuevo","Um erro ocorreu ao salvar sua foto. Por favor, tente novamente",An error occurred while saving your photo. Please try again
AT148,iOS,,Translations Strings,,ErrorSavingCameraRollStatus ,An error occurred while saving your photo to your device's Camera Roll. Please try again,An error occurred while saving your photo to your device's Camera Roll. Please try again,An error occurred while saving your photo to your device's Camera Roll. Please try again,An error occurred while saving your photo to your device's Camera Roll. Please try again.,"При сохранении фотографии на ваше устройство произошла ошибка. Пожалуйста, попробуйте еще раз","Ein Fehler ist aufgetreten, während dein Foto auf dein Smartphone gespeichert wurde. Bitte versuche es erneut.",Fotoğrafını makinenin Film Rulosuna kaydederken bir hata oluştu. Lütfen tekrar dene. ,Durante il salvataggio della foto nel rullino fotografico del tuo dispositivo si è verificato un errore. Riprova,"Станала е грешка при запазването на вашата снимка в галерията на вашето устройство. Моля, опитайте отново.",Došlo je do greške u snimanju vaše fotografije na memoriju kamere. Molimo vas da pokušate ponovo.,Živi mrtveci,写真をカメラロールへセーブ中にエラーが発生しました。もう一度やり直してください,當儲存你的照片到你裝置的相機膠捲時發生錯誤。請再試一次,An error occurred while saving your photo to your device's Camera Roll. Please try again,حدث خطأ أثناء حفظ صورتك على الكاميرا الخاصة بجهازك. يرجى إعادة المحاولة,Wystąpił błąd w trakcie zapisywania zdjęcia w folderze ze zdjęciami. Spróbuj ponownie ,Een fout vond plaats tijdens het opslaan van je foto op je telefoon. Probeer het opnieuw.,"Se produjo un error al guardar tu foto al Camera Roll de tu dispositivo. Por favor, inténtalo de nuevo","Um erro ocorreu ao salvar a sua foto no Camera Roll do seu dispositivo. Por favor, tente novamente",An error occurred while saving your photo to your device's Camera Roll. Please try again
AT149,iOS,,Translations Strings,,ErrorSavingCameraRollTitle ,Error saving to Camera Roll!,Error saving to Camera Roll!,Error saving to Camera Roll!,Error saving to Camera Roll!,Ошибка при сохранении фотографии!,Speicherfehler,Film Rulosuna kaydederken hata oluştu!,Errore nel salvataggio sul rullino fotografico!,Грешка при запис в галерия на камерата,Greška u snimanju na memoriju kamere,Označi kot neprimerno.,カメラロールへのセーブに失敗しました,儲存到相機膠捲時發生錯誤,Error saving to Camera Roll!,حدث خطأ أثناء الحفظ في الكاميرا!,Błąd w trakcie zapisywania w folderze ze zdjęciami!,Fout tijdens opslaan!,¡Error al guardar a Camera Roll!,Erro ao salvar em Camera Roll!,Error saving to Camera Roll!
AT150,iOS,,Translations Strings,,ErrorShareAd ,Sorry! This image can't be shared,Sorry! This image can't be shared,Sorry! This image can't be shared,Sorry! This image can't be shared,"Извините, этой фотографией невозможно поделиться","Sorry, dieses Foto kann nicht geteilt werden.",Üzgünüz! Bu fotoğraf paylaşılamıyor,Ci dispiace! Questa immagine non può essere condivisa,Съжаляваме! Тази снимка не може да бъде споделена,Žao nam je! Ova slika se ne može deliti.,Shranjeno,申し訳ありません！　この画像はシェアできません,抱歉！無法分享這個影像,Sorry! This image can't be shared,المعذرة! لا يمكن مشاركة هذه الصورة,Przepraszamy! Wystąpił błąd w trakcie zapisywania zdjęcia. Spróbuj ponownie!,Sorry! Deze foto kan niet gedeeld worden.,¡Lo siento! Esta imagen no puede ser compartida,Sinto muito! Esta imagem não pode ser compartilhada,Sorry! This image can't be shared
AT151,iOS,,Translations Strings,,ErrorSharingFacebook ,An error occurred while sending your photo to Facebook,An error occurred while sending your photo to Facebook,An error occurred while sending your photo to Facebook,An error occurred while sending your photo to Facebook,При публикации вашей фотографии в Facebook произошла ошибка,"Ein Fehler ist aufgetreten, während dein Foto an Facebook gesendet wurde.",Fotoğrafını Facebook'a yollarken bir hata oluştu,Durante l’invio della tua foto a Facebook si è verificato un errore,Станала е грешка при изпращането на вашата снимка във Facebook,Greška u slanju vaše fotografije na Fejsbuk. ,Deli,Facebookへ写真を送信中にエラーが発生しました,當將你的照片傳送到Facebook時發生錯誤,An error occurred while sending your photo to Facebook,حدث خطأ أثناء إرسال صورتك إلى فيسبوك,Wystąpił błąd w trakcie wysyłania zdjęcia do Facebooka,Een fout vond plaats tijdens het delen met Facebook. Probeer opnieuw.,Se produjo un error al enviar tu foto a Facebook,Um erro ocorreu ao enviar a sua foto para o Facebook,An error occurred while sending your photo to Facebook
AT152,iOS,,Translations Strings,,ErrorSharingTwitter ,An error occurred while sending your photo to Twitter,An error occurred while sending your photo to Twitter,An error occurred while sending your photo to Twitter,An error occurred while sending your photo to Twitter,При публикации вашей фотографии в Twitter произошла ошибка,"Ein Fehler ist aufgetreten, während dein Foto an Twitter gesendet wurde.",Fotoğrafını Twitter'a yollarken bir hata oluştu,Durante l’invio della tua foto a Twitter si è verificato un errore,Станала е грешка при изпращането на вашата снимка в Twitter,Greška u slanju vaše fotografije na Tviter.,Shranjujem,ツイッターへ写真を送信中にエラーが発生しました,當將你的照片傳送到Twitter時發生錯誤,An error occurred while sending your photo to Twitter,حدث خطأ أثناء إرسال صورتك إلى تويتر,Wystąpił błąd w trakcie wysyłania zdjęcia do Twittera,Een fout vond plaats tijdens het delen met Twitter.,Se produjo un error al enviar tu foto a Twitter,Um erro ocorreu ao enviar sua foto ao Twitter,An error occurred while sending your photo to Twitter
AT153,iOS,,Translations Strings,,ErrorUploadingImageStatus ,An error occurred while uploading your photo,An error occurred while uploading your photo,An error occurred while uploading your photo,An error occurred while uploading your photo,При загрузке вашей фотографии произошла ошибка,"Ein Fehler ist aufgetreten, während dein Foto hochgeladen wurde.",Fotoğrafını yüklerken bir hata oluştu,Durante il caricamento della tua foto si è verificato un errore,Станала е грешка при зареждането на вашата снимка,Greška u učitavanju vaše slike,Pošlji...,写真をアップロード中にエラーが発生しました,當將你的照片上傳時發生錯誤,An error occurred while uploading your photo,حدث خطأ أثناء تحميل صورتك,Wystąpił błąd w trakcie ładowania zdjęcia,Een fout vond plaats tijdens het uploaden van je foto.,Se produjo un error al subir tu foto,Um erro ocorreu ao subir a sua foto,An error occurred while uploading your photo
AT154,iOS,,Translations Strings,,FacebookConnect ,"Yes, authorize with Facebook","Yes, authorize with Facebook","Yes, authorize with Facebook","Yes, authorise with Facebook","Да, войти с помощью Facebook","Ja, mit Facebook authorisieren.","Evet, Facebook'a izin ver","Sì, autorizza tramite Facebook","Да, оторизирай през Facebook","Da, dozvoli Fejsbuk",Pogoji,はい、Facebookを許可します,是的，以Facebook授權,"Yes, authorize with Facebook",نعم، أصرح بالربط مع فيسبوك,"Tak, autoryzuj przez Facebooka","Ja, authoriseer met Facebook.","Sí, autorizar con Facebook","Sim, autorizar com Facebook","Yes, authorize with Facebook"
AT155,iOS,,Translations Strings,,FacebookConnectTitle ,Facebook authentication required,Facebook authentication required,Facebook authentication required,Facebook authentication required,Необходима авторизация в Facebook,Facebook-Authorisierung erforderlich,Facebook kimlik doğrulaması gerekli,È necessaria l’autenticazione tramite Facebook,Изисква се проверка за автентичността във Facebook,Potrebna je dozvola za Fejsbuk,Hvala,Facebookの許可が必要です,需要Facebook授權,Facebook authentication required,مصادقة الفيسبوك مطلوبة,Wymagana autoryzacja Facebooka,Facebook authenticatie verplicht.,Facebook requiere autenticación,Autenticação do Facebook necessária,Facebook authentication required
AT156,iOS,,Translations Strings,,FacebookDeauthTitle ,De-authorize Facebook ,De-authorise Facebook ,De-authorise Facebook ,De-authorise Facebook,Отменить авторизацию в Facebook,Facebook-Authorisierung zurücknehmen,Facebook yetkisini kaldır,Annulla l’autorizzazione per Facebook,Деоторизирай Facebook,Ukini dozvolu za Fejsbuk,Pogoji,Facebookを無効にする,取消Facebook授權,De-authorise Facebook ,إلغاء الربط مع الفيسبوك,Cofnij autoryzację Facebooka,De-authenticeer Facebook.,Desautorizar vinculación a Facebook,Desautorizar vinculação ao Facebook,De-authorise Facebook 
AT157,iOS,,Translations Strings,,FacebookLabel ,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Fejsbuk,Twitter,Facebook,Facebook,Facebook,فيسبوك,Facebook,Facebook,Facebook,Facebook,Facebook
AT158,iOS,,Translations Strings,,FavoriteContactsTitle ,Emails,Emails,Emails,Emails,Адреса электронной почты,E-Mails,Epostalar,E-mail,Електронна поща,E-mail,"Prosimo, vnesi ime in e-poštni naslov.",Eメール,Emails,Emails,عناوين البريد الإلكتروني,Emaile,Emails,Emails,Emails,Emails
AT161,iOS,,Translations Strings,,Flagging ,Flagging...,Flagging...,Flagging...,Flagging...,Отметка,Markieren...,İşaretliyor...,Segnalazione in corso...,Отбелязване...,Obeležavanje u toku...,Potrebuješ povezavo s Facebookom.,フラグ中…,檢舉中...,Flagging...,يتم وضع الإشارة...,Oznaczanie...,Rapporteren...,Marcando…,Marcando...,Flagging...
AT162,iOS,,Translations Strings,,FlagReportSent ,Your report has been sent.,Your report has been sent.,Your report has been sent.,Your report has been sent.,Ваш отчет отправлен,Dein Hinweis wurde gesendet.,Raporun gönderildi.,La tua segnalazione è stata inviata.,Вашият сигнал беше изпратен,Vaša prijava je poslata,Potrebuješ iOS različico 5.0 ali novejšo. Posodobi napravo in poskusi znova.,レポートが送信されました,你的報告已送出。,Your report has been sent.,تم إرسال التقرير الخاص بك,Twoje zgłoszenie zostało wysłane.,Je rapport is verzonden.,Su reporte ha sido enviado.,Seu relatório foi enviado.,Your report has been sent.
AT163,iOS,,Translations Strings,,FriendsGallery ,Friends,Friends,Friends,Friends,Друзья,Freunde,Arkadaşlar,Amici,Приятели,Prijatelji,Prijaviti se moraš na Twitter.,友達,朋友,Friends,الأصدقاء,Znajomi,Vrienden,Amigos,Amigos,Friends
AT164,iOS,,Translations Strings,,FromContactsButton ,From my contacts list,From my contacts list,From my contacts list,From my contacts list,Из моего списка контактов,Von meiner Kontaktliste,Kişi listemden,Dal mio elenco di contatti,Избери от списъка с контакти,Iz moje liste kontakata,Objavi na Twitterju.,連絡先リストから,從我的聯絡人名單,From my contacts list,من قائمة جهات الاتصال الخاصة بي,Z listy kontaktów,Van mijn contactenlijst,Desde mi lista de contactos,Da minha lista de contatos,From my contacts list
AT165,iOS,,Translations Strings,,GalleriesSection ,Galleries,Galleries,Galleries,Galleries,Галереи,Galerien,Galeriler,Gallerie,Галерии,Galerije,Objavi,ギャラリー,藝廊,Galleries,معارض الصور,Galerie,Galerijen,Galerías,Galerias,Galleries
AT166,iOS,,Translations Strings,,HelpScreenTitle ,Help,Help,Help,Help,Помощь,Hilfe,Yardım,Aiuto,Помощ,Pomoć,"S Foxovo uradno brezplačno aplikacijo se spremeni v povsem pristnega zombija iz nanizanke Živi mrtveci.

Fotografiraj se ali naloži svojo fotografijo, nato pa jo predelaj s pomočjo izjemno pristnih zombijevskih oči, ust in rekvizitov iz nanizanke Živi mrtveci. Svoj novi portret deli na Facebooku, Twitterju in galeriji zombijev.

Vsak teden poišči posebno kodo za dostop do skritih oči, ust in rekvizitov nove sezone Živih mrtvecev.

Ne pozabi glasovati za najstrašnejše, najgrozovitejše ali najboljše fotografije v galeriji zombijev!",ヘルプ,協助,Help,المساعدة,Pomoc,Help,Ayuda,Ajuda,Help
AT167,iOS,,Translations Strings,,HelpTitle ,Help,Help,Help,Help,Помощь,Hilfe,Yardım,Aiuto,Помощ,Pomoć,Živi mrtveci: aplikacija Dead Yourself,ヘルプ,協助,Help,المساعدة,Pomoc,Help,Ayuda,Ajuda,Help
AT168,iOS,,Translations Strings,,ImageSavedMessage ,Image saved to Photo Album.,Image saved to Photo Album.,Image saved to Photo Album.,Image saved to Photo Album.,Фотографии сохранены в альбом,Bild wurde ins Fotoalbum gespeichert.,Resim Fotoğraf Albümüne eklendi,Immagine salvata nell’album fotografico,"Изображениея, запазени във фотоалбума",Slika sačuvana u Foto-albumu.,"The Walking Dead, Dead Yourself, Walking Dead, FOX, Walking Dead iphone, the walking dead aplikacija za Facebook.",画像はフォトアルバムにセーブされました,儲存影像到相簿。,Image saved to Photo Album.,تم حفظ الصورة في ألبوم الصور,Zdjęcie zapisane w folderze ze zdjęciami.,Afbeelding opgeslagen in fotoalbum,Imagen guardada en el álbum de fotos.,Imagem salva no Álbum de Fotos,Image saved to Photo Album.
AT169,iOS,,Translations Strings,,ImageSavingError ,Sorry! There was an error saving your image. Please try again!,Sorry! There was an error saving your image. Please try again!,Sorry! There was an error saving your image. Please try again!,Sorry! There was an error saving your image. Please try again!,"Извините, при сохранении вашей фотографии произошла ошибка. Пожалуйста, попробуйте еще раз!","Sorry, ein Speicherfehler ist aufgetreten. Bitte versuche es erneut.",Üzgünüz! Fotoğrafın kaydedilirken bir hata oluştu. Lütfen tekrar dene!,Ci dispiace! Durante il salvataggio della tua immagine si è verificato un errore. Riprova!,"Съжаляваме! Тази снимка не може да бъде запазена. Моля, опитайте отново",Žao nam je! Greška u snimanju vaše slike. Pokušajte ponovo.,--,申し訳ありません！　画像のセーブに失敗しました。もう一度やり直してください,抱歉！儲存你的影像時發生錯誤。請再試一次！,Sorry! There was an error saving your image. Please try again!,عذراً! حدث خطأ أثناء حفظ الصورة. يرجى إعادة المحاولة!,Przepraszamy! Wystąpił błąd w trakcie zapisywania zdjęcia. Spróbuj ponownie!,Sorry! Er vond een fout plaats tijdens het opslaan. Probeer opnieuw!,"¡Lo siento! Se ha producido un error al guardar la imagen. Por favor, inténtalo de nuevo!","Desculpe! Houve um erro ao salvar sua imagem. Por favor, tente novamente!",Sorry! There was an error saving your image. Please try again!
AT170,iOS,,Translations Strings,,LoseChangesConfirmationAlert ,If you proceed you will lose all changes to this picture. Are you sure you want to proceed?,If you proceed you will lose all changes to this picture. Are you sure you want to proceed?,If you proceed you will lose all changes to this picture. Are you sure you want to proceed?,If you proceed you will lose all changes to this picture. Are you sure you want to proceed?,"Если вы уйдете со страницы, то все изменения будут потеряны. Вы уверены, что хотите уйти?","Wenn du fortfährst, gehen die Änderungen an deinem Bild verloren. Willst du sicher fortfahren?",Devam edersen bu fotoğrafta yaptığın tüm değişiklikleri kaybedeceksin. Devam etmek istediğine emin misin?,Proseguendo perderai tutte le modifiche apportate a questa immagine. Sei sicuro che vuoi continuare?,"Ако продължите, ще изгубите промените, направени по снимката. Сигурни ли сте, че искате да продължите?","Ako nastavite dalje, sve promene urađene na slici neće biti sačuvane. Da li sigurno hoćete dalje?",--,このまま進めると、写真の変更点すべてが失われるおそれがあります。続けますか？,如果你繼續進行，你會遺失所有對這張圖片所做的修改。你確定要繼續嗎？,If you proceed you will lose all changes to this picture. Are you sure you want to proceed?,إذا تابعت ستفقد كافة التغييرات على هذه الصورة. هل أنت متأكد من رغبتك في المتابعة؟,"Jeśli będziesz kontynuować, stracisz wprowadzone zmiany. Czy na pewno chcesz kontynuować?",Als je doorgaat worden veranderingen niet opgeslagen. Toch doorgaan?,"Si continúa, perderá todos los cambios en esta foto. ¿Está seguro de que desea continuar?","Se continuar, perderá todas as alterações nesta foto. Tem certeza que deseja continuar?",If you proceed you will lose all changes to this picture. Are you sure you want to proceed?
AT171,iOS,,Translations Strings,,MakePrivate ,Make Private,Make Private,Make Private,Make Private,Скрыть от других,Auf privat setzen,Gizli Yap,Rendi privata,Обособете като лична,Označi kao privatno,Vnesi opis svoje fotografije.,プライベートを作る,使它成為僅能私人看見,Make Private,اجعلها خاصة,Ukryj dla innych,Maak privé,Hacer Privado,Tornar privado,Make Private
AT172,iOS,,Translations Strings,,MakePrivateText ,Do you want to remove this photo from the Public Gallery?,Do you want to remove this photo from the Public Gallery?,Do you want to remove this photo from the Public Gallery?,Do you want to remove this photo from the Public Gallery?,Вы хотите убрать это фото из публичной галереи?,Willst du das Foto aus der öffentlichen Galerie entfernen?,Bu fotoğrafı herekese açık galeriden kaldırmak mı istiyorsun?,Vuoi rimuovere questa foto dalla galleria pubblica?,Искате ли да преместите снимката от общата фотогалерия?,Želite da uklonite ovu fotografiju iz Javne galerije?,Fotografija je objavljena v galeriji.,パブリックギャラリーからこの写真を削除しますか？,你想要把這張照片從公開相片集移除嗎？,Do you want to remove this photo from the Public Gallery?,هل تريد إزالة هذه الصورة من معرض الصور العام؟,Czy chcesz usunąć to zdjęcie z publicznej galerii?,Wil je deze foto verwijderen van de openbare galerij?,¿Quieres eliminar esta foto de la galería pública?,Você quer remover esta foto da Galeria Pública?,Do you want to remove this photo from the Public Gallery?
AT173,iOS,,Translations Strings,,MakePrivateTitle ,Make Private?,Make Private?,Make Private?,Make Private?,Скрыть от других?,Auf privat setzen?,Gizli Yap?,Vuoi rendere privata la tua foto?,Обособете като лична?,Privatizuj?,Fotografija je že objavljena v galeriji.,プライベートを作りますか？,使它成為僅能私人看見？,Make Private?,اجعلها خاصة؟,Ukryć dla innych?,Privé maken?,¿Hacerla privada?,Torná-la privada?,Make Private?
